metric,mean,std,n_splits,n_repeats,optuna_n_trials,optuna_best_value,optuna_best_trial_number
auc,0.7460214302066981,0.04081296131435582,10,20,50,0.6062386553152509,28
brier,0.20468280626953866,0.015364874966944601,10,20,50,0.6062386553152509,28
log_loss,0.5966445583584723,0.03609148917779093,10,20,50,0.6062386553152509,28
