threshold,net_benefit_model,net_benefit_all,net_benefit_none
0.05,0.2236246725410812,0.2236246725410812,0.0
0.1,0.18149824032176975,0.1804927099044746,0.0
0.15,0.1450625499068406,0.13228639872238487,0.0
0.2,0.11425339366515838,0.07805429864253394,0.0
0.25,0.08898944193061839,0.01659125188536953,0.0
0.3,0.048480930833872005,-0.05365223012281839,0.0
0.35,0.009745910198398905,-0.13470240167072745,0.0
0.39999999999999997,-0.00603318250377069,-0.229260935143288,0.0
0.44999999999999996,-0.0032908268202385405,-0.3410119292472233,0.0
0.49999999999999994,2.7755575615628914e-17,-0.4751131221719456,0.0
0.5499999999999999,0.03921568627450983,-0.6390145801910505,0.0
0.6,0.024886877828054307,-0.843891402714932,0.0
0.65,-0.01357466063348417,-1.107304460245637,0.0
0.7,0.007541478129713439,-1.458521870286576,0.0
0.75,0.009049773755656104,-1.9502262443438916,0.0
