threshold,net_benefit_model,net_benefit_all,net_benefit_none
0.05,0.2236246725410812,0.2236246725410812,0.0
0.1,0.1860231271995978,0.1804927099044746,0.0
0.15,0.1594357199893532,0.13228639872238487,0.0
0.2,0.12330316742081449,0.07805429864253394,0.0
0.25,0.10105580693815988,0.01659125188536953,0.0
0.3,0.07692307692307693,-0.05365223012281839,0.0
0.35,0.0431604594500522,-0.13470240167072745,0.0
0.39999999999999997,0.02413273001508298,-0.229260935143288,0.0
0.44999999999999996,0.028383381324557838,-0.3410119292472233,0.0
0.49999999999999994,0.02714932126696834,-0.4751131221719456,0.0
0.5499999999999999,0.022121669180492742,-0.6390145801910505,0.0
0.6,0.01357466063348417,-0.843891402714932,0.0
0.65,0.0019392372333548735,-1.107304460245637,0.0
0.7,0.03167420814479638,-1.458521870286576,0.0
0.75,0.03619909502262443,-1.9502262443438916,0.0
