dataset,n,auc,brier,log_loss,cal_intercept,cal_slope
train,1131,0.8488005776653119,0.16468355031350776,0.5035210563650032,-0.3188858930067806,1.5468859164603836
test,221,0.8017770255976306,0.18015543723555025,0.535489658697098,-0.983157210769516,1.2284195497820467
train_calibrated,1131,0.8488005776653119,0.16212681901528284,0.4970531772542555,0.12376468168492132,1.5697470356768863
test_calibrated,221,0.8017770255976306,0.16263650909993033,0.4949858004631719,-0.6313289116599665,1.246203499460442
